id,tier,level,entry,class,year
cinnamon,1,main,"cinnamon, n.",n.,1405
cinnamon,1,main,"cinnabrian, adj.",adj.,1668
cinnamon,1,main,"Winter's cinnamon, n.",n.,1673
cinnamon,1,main,"cinnamite, n.",n.,1814
cinnamon,1,main,"cinnamoned, adj.",adj.,1834
cinnamon,1,main,"cinnamomic, adj.",adj.,1837
cinnamon,1,main,"cinnamate, n.",n.,1838
cinnamon,1,main,"cinnamonic, adj.",adj.,1838
cinnamon,1,main,"cinnamomeous, adj.",adj.,1854
cinnamon,1,main,"cinnamomeously, adv.",adv.,1887
cinnamon,1,sub,cinnamon-tree,n.,1440
cinnamon,1,sub,† cinnamon smell,n.,1579
cinnamon,1,sub,cinnamon-water,n.,1589
cinnamon,1,sub,cinnamon-root,n.,1597
cinnamon,1,sub,cinnamon stick,n.,1616
cinnamon,1,sub,† cinnamon-plum,n.,1664
cinnamon,1,sub,cinnamon apple,n.,1664
cinnamon,1,sub,cinnamon-coloured,adj.,1679
cinnamon,1,sub,cinnamon rose,n.,1699
cinnamon,1,sub,cinnamon-eater,n.,1730
cinnamon,1,sub,white cinnamon,n.,1751
cinnamon,1,sub,cinnamon-stone,n.,1805
cinnamon,1,sub,cinnamon-bark,n.,1811
cinnamon,1,sub,cinnamon fern,n.,1818
cinnamon,1,sub,cinnamon bear,n.,1823
cinnamon,1,sub,cinnamon-brown,adj.,1826
cinnamon,1,sub,cinnamon-oil,n.,1838
cinnamon,1,sub,oil of cinnamon,n.,1838
cinnamon,1,sub,wild cinnamon,n.,1858
cinnamon,1,sub,cinnamon fly,n.,1867
cinnamon,1,sub,cinnamon-like,adj.,1868
cinnamon,1,sub,cinnamon-suet,n.,1868
cinnamon,1,sub,cinnamon roll,n.,1872
cinnamon,1,sub,cinnamon bun,n.,1879
cinnamon,1,sub,cinnamon-red,adj.,1882
cinnamon,1,sub,cinnamon-blackish,adj.,1887
cinnamon,1,sub,cinnamon dove,n.,1895
cinnamon,1,sub,cinnamon-hued,adj.,1899
cinnamon,1,sub,cinnamon toast,n.,1927
ginger,2,main,"ginger, n. and adj.",n.,925
ginger,2,main,"ginger, n. and adj.",adj.,930
ginger,2,main,"gingerbread, n. and adj.",n.,1228
ginger,2,main,"gingerbread, n. and adj.",adj.,1228
ginger,2,main,"gingerly, adv. and adj.",adv.,1520
ginger,2,main,"gingerly, adv. and adj.",adj.,1520
ginger,2,main,"gingered, adj.",adj.,1583
ginger,2,main,"gingerliness, n.",n.,1583
ginger,2,main,"ginger, adj.2  (and adv.)",adj.,1600
ginger,2,main,"gingerline, n.",n.,1611
ginger,2,main,"ginger, v.",v.,1673
ginger,2,main,"ginger-grass, n.",n.,1750
ginger,2,main,"gingerish, adj.1",adj.,1764
ginger,2,main,"gingery, adj.",adj.,1807
ginger,2,main,"ginger beer, n. and adj.",n.,1809
ginger,2,main,"ginger beer, n. and adj.",adj.,1809
ginger,2,main,"ginger pop, n.",n.,1816
ginger,2,main,"ginger ale, n.",n.,1818
ginger,2,main,"gingering, n.",n.,1822
ginger,2,main,"gingerade, n.",n.,1829
ginger,2,main,"gingerette, n.",n.,1838
ginger,2,main,"gingersnap, n.",n.,1838
ginger,2,main,"gingerbread, v.",v.,1844
ginger,2,main,by ginger,phrase,1848
ginger,2,main,"gingerous, adj.",adj.,1853
ginger,2,main,"gingerol, n.",n.,1879
ginger,2,main,"gingerness, n.",n.,1886
ginger,2,main,"gingerish, adj.2",adj.,1895
ginger,2,sub,ginger comfit,n.,1365
ginger,2,sub,ginger sauce,n.,1425
ginger,2,sub,† ginger grate,n.,1530
ginger,2,sub,ginger spice,n.,1530
ginger,2,sub,† gingerbread temse,n.,1562
ginger,2,sub,ginger-coloured,adj.,1594
ginger,2,sub,ginger root,n.,1597
ginger,2,sub,† ginger-work,n.,1631
ginger,2,sub,gingerbread baker,n.,1637
ginger,2,sub,gingerbread maker,n.,1640
ginger,2,sub,† gingerbread office,n.,1643
ginger,2,sub,† ginger race,n.,1658
ginger,2,sub,gingerbread man,n.,1686
ginger,2,sub,gingerbread seller,n.,1696
ginger,2,sub,ginger plant,n.,1708
ginger,2,sub,gingerbread cake,n.,1721
ginger,2,sub,ginger wine,n.,1734
ginger,2,sub,gingerbread nut,n.,1734
ginger,2,sub,ginger juice,n.,1736
ginger,2,sub,gingerbread letter,n.,1740
ginger,2,sub,gingerbread work,n.,1748
ginger,2,sub,ginger cake,n.,1758
ginger,2,sub,gingerbread-like,adj.,1764
ginger,2,sub,† gingerbread-gilt,adj.,1769
ginger,2,sub,ginger tea,n.,1770
ginger,2,sub,gingerbread stand,n.,1773
ginger,2,sub,ginger-hackled,adj.,1785
ginger,2,sub,ginger nut,n.,1786
ginger,2,sub,gingerbread horse,n.,1800
ginger,2,sub,ginger syrup,n.,1801
ginger,2,sub,† ginger-mad,adj.,1802
ginger,2,sub,gingerbread house,n.,1804
ginger,2,sub,ginger red,adj.,1811
ginger,2,sub,ginger cordial,n.,1813
ginger,2,sub,gingerbread plum,n.,1824
ginger,2,sub,ginger biscuit,n.,1826
ginger,2,sub,gingerbread tree,n.,1829
ginger,2,sub,ginger-haired,adj.,1830
ginger,2,sub,gingerbread complexion,n.,1832
ginger,2,sub,ginger brandy,n.,1838
ginger,2,sub,ginger cookie,n.,1844
ginger,2,sub,gingerbread dog,n.,1845
ginger,2,sub,gingerbready,adj.,1845
ginger,2,sub,gingerwort,n.,1846
ginger,2,sub,† ginger fern,n.,1847
ginger,2,sub,† ginger-cordial,n.,1853
ginger,2,sub,ginger jar,n.,1856
ginger,2,sub,gingerbread cookie,n.,1863
ginger,2,sub,gingerbread palm,n.,1863
ginger,2,sub,† gingerbread-trap,n.,1864
ginger,2,sub,ginger-drinking,n.,1871
ginger,2,sub,ginger nob,n.,1878
ginger,2,sub,† gingersuck,n.,1879
ginger,2,sub,ginger lily,n.,1892
ginger,2,sub,ginger-faced,adj.,1892
ginger,2,sub,ginger group,n.,1916
ginger,2,sub,to put ginger,phrase,1919
ginger,2,sub,to show ginger,phrase,1942
ginger,2,sub,ginger mint,n.,1943
pepper,3,main,"pepper, n.",n.,925
pepper,3,main,"pepper, v.",v.,930
pepper,3,main,"peppered, adj.",adj.,935
pepper,3,main,"pepper-quern, n.",n.,940
pepper,3,main,"peppercorn, n. and adj.",n.,945
pepper,3,main,"peppercorn, n. and adj.",adj.,950
pepper,3,main,"pepperer, n.1",n.,1309
pepper,3,main,to have pepper in the nose,phrase,1400
pepper,3,main,"peppergrass, n.",n.,1500
pepper,3,main,"pepperwort, n.",n.,1500
pepper,3,main,"water pepper, n.",n.,1538
pepper,3,main,"pepperbox, n. and adj.",n.,1543
pepper,3,main,"pepperbox, n. and adj.",adj.,1543
pepper,3,main,"red pepper, n.",n.,1559
pepper,3,main,"pepper tree, n.",n.,1563
pepper,3,main,green pepper,n.,1565
pepper,3,main,"Indian pepper, n.",n.,1578
pepper,3,main,"peppering, n.",n.,1580
pepper,3,main,"Guinea pepper, n.",n.,1597
pepper,3,main,"mountain pepper, n. ",n.,1597
pepper,3,main,"bynny-pepper, n.",n.,1603
pepper,3,main,"peppery, adj.",adj.,1610
pepper,3,main,"pepperish, adj.",adj.,1613
pepper,3,main,"peppernel, n.",n.,1613
pepper,3,main,"pepperbush, n.",n.,1672
pepper,3,main,"pepper castor, n.",n.,1676
pepper,3,main,"pepper-water, n.",n.,1677
pepper,3,main,"pepperpot, n.",n.,1679
pepper,3,main,"pepperidge, n.",n.,1689
pepper,3,main,"peppermint, n. and adj.",n.,1696
pepper,3,main,"peppermint, n. and adj.",adj.,1696
pepper,3,main,"pepperer, n.2",n.,1712
pepper,3,main,"peppering, adj.",adj.,1712
pepper,3,main,"pepper-and-salt, n. and adj.",n.,1774
pepper,3,main,"pepper-and-salt, n. and adj.",adj.,1774
pepper,3,main,"pepperminty, adj.",adj.,1854
pepper,3,main,"pepperwood, n.",n.,1854
pepper,3,main,"peppernut, n.",n.,1862
pepper,3,main,"pepperoni, n.",n.,1888
pepper,3,main,"pepperette, n.",n.,1893
pepper,3,main,"Dr Pepper, n.",n.,1895
pepper,3,main,"pep, n.",n.,1908
pepper,3,main,"pep, v.",v.,1910
pepper,3,main,"pep talk, n.",n.,1913
pepper,3,main,pepper game,n.,1913
pepper,3,main,"peppy, adj.",adj.,1914
pepper,3,main,"pepped-up, adj.",adj.,1916
pepper,3,main,"pepping up, n.",n.,1916
pepper,3,main,"pep pill, n.",n.,1917
pepper,3,main,"peppiness, n.",n.,1921
pepper,3,main,"pep talker, n.",n.,1925
pepper,3,main,"pep-talking, n.",n.,1927
pepper,3,main,"pepperina, n.",n.,1930
pepper,3,main,"pepper-up, n.",n.,1934
pepper,3,main,"pepper-upper, n.",n.,1934
pepper,3,main,"pep-talk, v.",v.,1936
pepper,3,main,"pepperoncino, n.",n.,1951
pepper,3,main,"pepperpotting, n.",n.,1960
pepper,3,main,"pepper gas, n.",n.,1968
pepper,3,main,"pepper-gas, v.",v.,1970
pepper,3,main,"pepper-pot, v.",v.,1974
pepper,3,main,"pepper spray, n.",n.,1979
pepper,3,main,"pepper-spray, v.",v.,1993
pepper,3,sub,pepper-horn,n.,975
pepper,3,sub,pepper grain,n.,1398
pepper,3,sub,† pepper polk,n.,1568
pepper,3,sub,† pepper-nosed,adj.,1580
pepper,3,sub,† pepper-gingerbread,n.,1598
pepper,3,sub,pepper wine,n.,1601
pepper,3,sub,pepper berry,n.,1611
pepper,3,sub,pepper bread,n.,1611
pepper,3,sub,pepper plant,n.,1611
pepper,3,sub,pepper-coloured,adj.,1612
pepper,3,sub,to snuff pepper,phrase,1624
pepper,3,sub,pepper seed,n.,1626
pepper,3,sub,pepper mill,n.,1631
pepper,3,sub,pepper cake,n.,1648
pepper,3,sub,pepper sauce,n.,1648
pepper,3,sub,pepper-proof,adj.,1655
pepper,3,sub,pepper root,n.,1659
pepper,3,sub,pepper man,n.,1661
pepper,3,sub,† pepper posset,n.,1669
pepper,3,sub,† pepper worm,n.,1688
pepper,3,sub,pepper shrub,n.,1693
pepper,3,sub,† pepper-vend,n.,1720
pepper,3,sub,pepper dulse,n.,1724
pepper,3,sub,† pepper-wheat,n.,1743
pepper,3,sub,† pepper-bird ,n.,1752
pepper,3,sub,† pepper-bird  ,n.,1752
pepper,3,sub,pepper elder,n.,1774
pepper,3,sub,pepper plantation,n.,1783
pepper,3,sub,pepper vine,n.,1783
pepper,3,sub,pepper pod,n.,1790
pepper,3,sub,† pepper porridge,n.,1803
pepper,3,sub,† Pepper Alley,n.,1820
pepper,3,sub,to pay a visit to Pepper Alley,phrase,1821
pepper,3,sub,pepper saxifrage,n.,1824
pepper,3,sub,pepper cress,n.,1830
pepper,3,sub,pepperiness ,n.,1841
pepper,3,sub,† pepperbrand,n.,1842
pepper,3,sub,pepper dust,n.,1844
pepper,3,sub,pepper grinder,n.,1859
pepper,3,sub,pepper soup,n.,1860
pepper,3,sub,pepper moth,n.,1864
pepper,3,sub,pepper rod,n.,1864
pepper,3,sub,† pepper crop,n.,1866
pepper,3,sub,† pepper-rent,n.,1866
pepper,3,sub,pepper bottle,n.,1870
pepper,3,sub,pepperweed,n.,1871
pepper,3,sub,pepper-salt,adj.,1882
pepper,3,sub,pepper shaker,n.,1889
pepper,3,sub,pepper tea,n.,1897
pepper,3,sub,pepperily ,adv.,1898
pepper,3,sub,pepper field,n.,1905
pepper,3,sub,pepper steak,n.,1907
pepper,3,sub,pepper belly,n.,1915
pepper,3,sub,sweet pepper,n.,1752
saffron,4,main,"saffora, n.",n.,1604
saffron,4,main,"saffraan, n.",n.,1819
saffron,4,main,"saffranon, n.",n.,1731
saffron,4,main,"† saffred, adj.",adj.,1466
saffron,4,main,"saffron, n. and adj.",n.,1200
saffron,4,main,"saffron, n. and adj.",adj.,1200
saffron,4,main,"saffron, v.",v.,1386
saffron,4,main,"saffroned, adj.",adj.,1303
saffron,4,main,"† saffronish, adj.",adj.,1530
saffron,4,main,"saffrony, adj.",adj.,1630
saffron,4,main,"safranine, n.",n.,1868
saffron,4,main,"safranophile, adj.",adj.,1890
saffron,4,sub,African saffron,n.,1866
saffron,4,sub,bastard saffron,n.,1548
saffron,4,sub,cake saffron,n.,1849
saffron,4,sub,† Cape saffron,n.,1711
saffron,4,sub,hay saffron,n.,1849
saffron,4,sub,Indian saffron,n.,1728
saffron,4,sub,wild saffron,n.,1548
saffron,4,sub,meadow saffron,n.,1664
saffron,4,sub,† mock saffron,n.,1548
saffron,4,sub,† saffron-bag,n.,1513
saffron,4,sub,saffron bulb,n.,1440
saffron,4,sub,saffron bun,n.,1852
saffron,4,sub,saffron butterfly,n.,1703
saffron,4,sub,saffron cake,n.,1747
saffron,4,sub,saffron-clad,adj.,1881
saffron,4,sub,saffron colour,n.,1398
saffron,4,sub,saffron-coloured,adj.,1548
saffron,4,sub,saffron cordial,n.,1728
saffron,4,sub,saffron crocus,n.,1857
saffron,4,sub,† saffron cut,adj.,1766
saffron,4,sub,saffron-flavoured,adj.,1959
saffron,4,sub,saffron flower,n.,1910
saffron,4,sub,saffron-fruited,adj.,1558
saffron,4,sub,saffron-gatherer,n.,1856
saffron,4,sub,saffron head,n.,1729
saffron,4,sub,saffron-hued,adj.,1513
saffron,4,sub,saffronic,adj.,1949
saffron,4,sub,saffron-kiln,n.,1725
saffron,4,sub,saffron-mantled,adj.,1791
saffron,4,sub,saffron milk cap,n.,1954
saffron,4,sub,saffron moth,n.,1829
saffron,4,sub,† saffron noble,n.,1593
saffron,4,sub,saffron of Mars,n.,1704
saffron,4,sub,† saffron of the spring,n.,1599
saffron,4,sub,saffron ointment,n.,1398
saffron,4,sub,† saffron pear,n.,1664
saffron,4,sub,saffron plum,n.,1884
saffron,4,sub,saffron rice,n.,1926
saffron,4,sub,saffron-robed,adj.,1842
saffron,4,sub,† saffron sauce,n.,1505
saffron,4,sub,saffron-spotted,adj.,1945
saffron,4,sub,saffron-tea,n.,1897
saffron,4,sub,saffron-thistle,n.,1891
saffron,4,sub,† saffron-tree,n.,1716
saffron,4,sub,saffron-wood,n.,1854
saffron,4,sub,saffron yellow,adj.,1832
saffron,4,sub,spring saffron,n.,1597
pepper,3,sub,peppercorn bush,n.,1948
pepper,3,sub,peppercorn hair,n.,1857
pepper,3,sub,ˈpeppercornish,adj.,1762
pepper,3,sub,peppercorn rent,n.,1582
pepper,3,sub,† peppercorn shrub,n.,1901
pepper,3,sub,peppercorn-sized,adj.,1881
pepper,3,sub,peppercorn tree,n.,1954
pepper,3,sub,ˈpeppercorny,adj.,1860
pepper,3,sub,†to pepper a person's box (also pans),phrase,1608
pepper,3,sub,pepper-and-salted,adj.,1846
pepper,3,sub,pepper-and-saltiness,n.,1880
pepper,3,sub,pepper-and-salty,adj.,1952
pepper,4,sub,pepperbox pistol,n.,1861
pepper,5,sub,pepperbox revolver,n.,1872
pepper,6,sub,pepperbox spelling,n.,1948
